generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_balanced_all-rounder,archetype_defensive_pivot,archetype_fast_attacker,archetype_generalist
146,0.7130675613410593,0.7236733020676571,0.03022767909709194,2.547184722943378,100.0,152,150,148,154,151,145
147,0.710420819673833,0.7236733020676571,0.03506008077027247,2.547184722943378,100.0,150,149,149,150,152,150
148,0.7142427067559239,0.7236733020676571,0.02654104091757995,2.553851389610045,100.0,149,152,149,154,149,147
149,0.7109311039148556,0.7236733020676571,0.03291574743923728,2.5405180562767113,100.0,153,145,150,154,151,147
150,0.7106120001301531,0.7236733020676571,0.03372977704973149,2.5405180562767113,100.0,151,147,153,153,149,147
151,0.7131002743517625,0.7236733020676571,0.03072445885711239,2.5494069451656007,100.0,149,148,150,151,152,150
152,0.7084251006095789,0.7236733020676571,0.03545158123806274,2.5316291673878224,100.0,149,154,147,150,148,152
153,0.7127815753300193,0.7236733020676571,0.029570218519440694,2.551629167387823,100.0,146,154,151,152,149,148
154,0.7121163285323234,0.7236733020676571,0.03256192600963026,2.547184722943378,100.0,152,150,152,150,149,147
155,0.7089513404323797,0.7236733020676571,0.03493460893434037,2.538295834054489,100.0,151,152,148,154,149,146
156,0.7096522632701752,0.7236733020676571,0.03590892185366674,2.5405180562767113,100.0,154,147,148,148,154,149
157,0.7144637227069819,0.7241869313910587,0.026911776526415257,2.551629167387823,100.0,154,151,147,151,148,149
158,0.7099493512069089,0.7241869313910587,0.03334676940661819,2.544962500721156,100.0,156,151,146,150,149,148
159,0.7109201648456143,0.7241869313910587,0.03420339550831613,2.5449625007211556,100.0,152,148,151,154,149,146
160,0.7111971206638831,0.7241869313910587,0.03409137697083902,2.547184722943378,100.0,144,151,152,153,151,149
161,0.7137270514828293,0.7241869313910587,0.02888615569046188,2.551629167387823,100.0,151,151,150,151,148,149
162,0.7112820204439126,0.7241869313910587,0.03537942174605337,2.5449625007211556,100.0,150,152,146,147,154,151
163,0.709399224749655,0.7241869313910587,0.03376178223799184,2.533851389610045,100.0,152,150,146,153,150,149
164,0.7120349828770413,0.7241869313910587,0.032318973373255795,2.5494069451656007,100.0,150,153,148,151,149,149
165,0.7127144846965204,0.7241869313910587,0.03111033829516246,2.547184722943378,100.0,153,150,148,153,148,148
166,0.7108636322885925,0.7241869313910587,0.03572936208044327,2.542740278498934,100.0,150,152,151,146,153,148
167,0.7097704171429342,0.7241869313910587,0.03319170175250742,2.5294069451656003,100.0,159,152,144,151,148,146
168,0.714963205735953,0.7241869313910587,0.027632119507488322,2.553851389610045,100.0,149,147,151,149,153,151
169,0.7083424613876985,0.7241869313910587,0.03676136454301134,2.538295834054489,100.0,154,147,149,147,151,152
170,0.7144855761215363,0.7241869313910587,0.027864501096084175,2.551629167387823,100.0,151,153,146,152,148,150
171,0.7160395577885011,0.7241869313910587,0.028184804980966382,2.564962500721156,100.0,147,151,153,150,150,149
172,0.7124955645957641,0.7241869313910587,0.03218277796097642,2.544962500721156,100.0,155,150,147,154,146,148
173,0.7162980713240791,0.7241869313910587,0.026702293738008497,2.556073611832267,100.0,151,148,151,150,153,147
174,0.7108478614971305,0.7241869313910587,0.035082485088176074,2.538295834054489,100.0,150,156,149,149,150,146
175,0.7168894655905614,0.7241869313910587,0.024254109390101267,2.5582958340544892,100.0,151,150,150,151,150,148
176,0.7147654529263318,0.7241869313910587,0.02925365069308144,2.5516291673878224,100.0,154,153,147,150,148,148
177,0.7085443745282037,0.7241869313910587,0.036195889453183944,2.5316291673878233,100.0,151,147,152,151,151,148
178,0.7105457701682635,0.7241869313910587,0.033557615840926786,2.538295834054489,100.0,150,153,147,153,147,150
179,0.7104834416454012,0.7308789563223769,0.03665903796728382,2.542740278498934,100.0,158,154,151,148,143,146
180,0.7134638661243647,0.7308789563223769,0.02873672888667078,2.5494069451656003,100.0,149,151,151,153,150,146
181,0.7146528794675348,0.7308789563223769,0.03113279179844323,2.5494069451656007,100.0,149,148,151,154,149,149
182,0.713510128005788,0.7308789563223769,0.03421736766349001,2.5449625007211556,100.0,153,150,150,148,152,147
183,0.7147664895590922,0.7308789563223769,0.036069267428992476,2.542740278498934,100.0,152,151,150,147,151,149
184,0.717219467175389,0.7308789563223769,0.03428668867301511,2.5449625007211556,100.0,149,151,151,154,146,149
185,0.7189529073750449,0.7308789563223769,0.033622379675516,2.544962500721156,100.0,159,151,145,152,149,144
186,0.7202761873911162,0.7308789563223769,0.03231753185813035,2.551629167387823,100.0,151,150,150,152,150,147
187,0.7223203587932415,0.7308789563223769,0.029166286106365822,2.5582958340544892,100.0,152,152,149,152,146,149
188,0.7144268076393426,0.7308789563223769,0.03849373135546765,2.5360736118322675,100.0,152,155,147,148,150,148
189,0.7175941619972224,0.7308789563223769,0.03525253623162426,2.5449625007211556,100.0,152,149,148,152,151,148
190,0.7175280186776695,0.7308789563223769,0.034483646536748944,2.5516291673878233,100.0,149,151,149,150,153,148
191,0.7163584180711977,0.7308789563223769,0.034449567538238884,2.533851389610045,100.0,147,152,151,149,153,148
192,0.7198029031302817,0.7308789563223769,0.030747966455529213,2.5516291673878233,100.0,155,152,148,152,146,147
193,0.7201197482211282,0.7308789563223769,0.03094171458308881,2.556073611832267,100.0,151,153,150,150,150,146
194,0.7144474443807364,0.7308789563223769,0.03705425241625489,2.533851389610045,100.0,155,151,150,152,150,142
