generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_defensive_wall,archetype_generalist,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder
84,0.6986040834764604,0.704147968137746,0.016506758928041265,1.781707653164797,98.66666666666667,149,1.0,451,148.0,147,4
85,0.6981852342455475,0.704147968137746,0.01723981932646725,1.7972632087203528,99.33333333333333,151,2.0,443,148.0,150,6
86,0.6928339517004414,0.704147968137746,0.02276055412254004,1.777012583732372,95.33333333333333,145,3.0,448,149.0,148,7
87,0.6981578501205025,0.704147968137746,0.01776478761019965,1.7880802503798081,99.33333333333333,151,1.0,448,147.0,148,5
88,0.6987554138415764,0.704147968137746,0.01701257235665492,1.7942022226068381,99.33333333333333,151,,446,150.0,148,5
89,0.698864492152529,0.704147968137746,0.015601697158256276,1.8083743198314637,98.0,149,1.0,441,153.0,150,6
90,0.6961550032227355,0.704147968137746,0.019278884396029046,1.7889624587347763,98.0,149,3.0,445,150.0,147,6
91,0.6949203837883133,0.704147968137746,0.020298775845369366,1.780618264285524,98.0,145,4.0,449,149.0,148,5
92,0.6973434013508587,0.704147968137746,0.01816565160085804,1.7836358059353634,97.33333333333333,145,2.0,450,151.0,148,4
93,0.6965833801111027,0.704147968137746,0.018921168572406687,1.7944962920584937,97.33333333333333,146,2.0,447,148.0,148,9
94,0.6987469006255386,0.704147968137746,0.016941446253549798,1.7827970420440709,98.0,147,2.0,449,151.0,149,2
95,0.6970405803247042,0.7189181911117869,0.018388976366543318,1.7803241948338682,98.0,147,1.0,450,149.0,148,5
96,0.6965527993325924,0.7189181911117869,0.0192796655716284,1.7688080526376453,95.33333333333333,143,2.0,454,145.0,148,8
97,0.6951376478092816,0.7189181911117869,0.02201368516799235,1.72860087211334,96.0,145,1.0,465,136.0,144,9
98,0.7002771682770372,0.7189181911117869,0.019026618318629847,1.6803001221277634,94.66666666666667,142,1.0,479,128.0,147,3
99,0.7040444893876422,0.7189181911117869,0.019599868044171766,1.55439537221911,96.0,145,2.0,513,85.0,152,3
100,0.7065179762899021,0.7189181911117869,0.023229816972068953,1.3883121435072208,98.0,149,4.0,559,34.0,149,5
101,0.7105224685697213,0.7205058456867466,0.021000537039849426,1.283004862465379,97.33333333333333,148,2.0,589,8.0,145,8
102,0.7105731142736732,0.7205058456867466,0.01930067449025956,1.2802379458035198,99.33333333333333,149,1.0,591,4.0,144,11
