generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder,archetype_generalist
165,0.6399727540860907,0.6487601334413411,0.02426467658871244,2.2449625007211558,100.0,6,153,150,150,148,293.0
166,0.6384250459895192,0.6487601334413411,0.02511941197733193,2.2335573201583885,99.33333333333333,6,154,149,154,142,295.0
167,0.6367626232057277,0.6487601334413411,0.02890172136812131,2.2338513896100447,98.66666666666667,10,150,146,150,148,296.0
168,0.6400197457750983,0.6487601334413411,0.023758571528740956,2.2360736118322664,100.0,6,152,150,153,144,295.0
169,0.6382587728986486,0.6487601334413411,0.025634452118980362,2.2419015146076404,99.33333333333333,6,149,151,152,152,290.0
170,0.6378827914043006,0.6487601334413411,0.02721456041786183,2.2396792923854183,99.33333333333333,7,154,148,150,148,293.0
171,0.6401348914788267,0.6487601334413411,0.024902138793147625,2.2449625007211558,98.0,5,153,151,150,150,291.0
172,0.6407200765289779,0.6487601334413411,0.025287837031830317,2.2419015146076404,100.0,5,153,145,152,150,295.0
173,0.6409792092735409,0.6487601334413411,0.024328292926738677,2.238295834054489,99.33333333333333,4,154,149,150,147,296.0
174,0.6406822641451183,0.6487601334413411,0.023464239635838945,2.2285681812743072,98.0,2,151,150,153,147,297.0
175,0.6393777383688656,0.6487601334413411,0.025538675466936445,2.238840528494126,98.66666666666667,8,149,149,149,149,296.0
176,0.6407988335364524,0.6487601334413411,0.02462481024855396,2.238295834054489,100.0,5,155,147,151,145,297.0
177,0.6407102551067329,0.6487601334413411,0.022440347139868887,2.2449625007211558,98.0,6,149,150,155,146,294.0
178,0.6359933864106381,0.6487601334413411,0.0306580535636429,2.235234847940974,99.33333333333333,7,153,146,155,149,290.0
179,0.6351635746761221,0.6487601334413411,0.030867396622478043,2.244123736829863,100.0,12,154,149,147,146,292.0
180,0.6387181788683207,0.6487601334413411,0.02738317775728771,2.2405180562767115,97.33333333333333,6,146,149,153,152,294.0
181,0.6391248700799224,0.6487601334413411,0.02533288828649771,2.242740278498933,99.33333333333333,5,152,150,149,152,292.0
182,0.6383099875059507,0.6487601334413411,0.02687772008754765,2.2405180562767115,98.66666666666667,7,151,149,153,148,292.0
183,0.6384840413863102,0.6487601334413411,0.027461790635136537,2.238295834054489,98.66666666666667,5,151,150,155,148,291.0
184,0.63399898802867,0.6487601334413411,0.03319050226138431,2.2285681812743072,98.66666666666667,6,152,148,153,146,295.0
185,0.6408699293651612,0.6487601334413411,0.023976996083700235,2.240518056276711,100.0,8,150,148,149,148,297.0
186,0.6414574503978893,0.6487601334413411,0.022434607157726497,2.246345959052085,100.0,5,148,149,150,152,296.0
187,0.6407133342486259,0.6487601334413411,0.025290888459779802,2.238295834054489,99.33333333333333,4,152,148,150,150,296.0
188,0.6372613555705192,0.6487601334413411,0.029920327670849456,2.2316291673878226,99.33333333333333,4,155,143,156,148,294.0
189,0.6369287915053604,0.6487601334413411,0.028233099111493132,2.2360736118322664,100.0,7,155,150,150,146,292.0
190,0.6403126923682972,0.6487601334413411,0.023553282845807124,2.2396792923854183,98.66666666666667,7,153,149,148,147,296.0
191,0.6374511181195123,0.6487601334413411,0.028248919725783632,2.2271847229433774,97.33333333333333,4,150,150,157,148,291.0
192,0.6346462440741603,0.6487601334413411,0.03213209186308795,2.2366183062719034,99.33333333333333,9,157,145,148,149,292.0
193,0.643130035535753,0.6487601334413411,0.018194764223245934,2.2338513896100447,98.0,1,153,150,150,150,296.0
194,0.6327861275053768,0.6487601334413411,0.03528304602307677,2.2294069451656,98.0,9,152,146,153,149,291.0
195,0.6392862495380994,0.6487601334413411,0.025390652314598014,2.240518056276711,98.66666666666667,7,146,154,151,147,295.0
196,0.6365036197358959,0.6487601334413411,0.029790603818524056,2.2485681812743072,98.66666666666667,11,152,149,149,148,291.0
197,0.6397255301938645,0.6487601334413411,0.02561717777464817,2.233012625718752,99.33333333333333,6,155,149,147,146,297.0
198,0.6337860761782156,0.6487601334413411,0.03166144889618347,2.2205180562767115,99.33333333333333,6,158,152,149,145,290.0
199,0.6385582819823559,0.6487601334413411,0.026037954648533968,2.242740278498933,98.66666666666667,6,152,150,156,146,290.0
200,0.6418485649850031,0.6487601334413411,0.02113553291800201,2.2494069451656005,99.33333333333333,4,153,152,149,149,293.0
201,0.6370446389325772,0.6487601334413411,0.028707185891211674,2.235234847940974,98.66666666666667,6,154,150,150,146,294.0
202,0.6404760236456575,0.6487601334413411,0.02450204692116153,2.2449625007211558,99.33333333333333,9,153,147,148,146,297.0
203,0.6372574415987562,0.6487601334413411,0.02956554874183892,2.2419015146076404,99.33333333333333,10,152,147,149,147,295.0
204,0.6355826999320464,0.6487601334413411,0.031129196051988828,2.241062750716348,98.66666666666667,11,151,146,150,148,294.0
205,0.6371540573433111,0.6487601334413411,0.030414727564834237,2.2255071951607923,98.0,4,152,146,154,148,296.0
